ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.pku.edu.cn,0.88,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.88,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.89,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
