ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.ru.ac.za,0.91,29,0,29,0.0,0.493233176882,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,49,0,49,0.0,0.486262069447,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,69,0,69,0.0,0.48975749642,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,89,0,89,0.0,0.52623422252,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,109,9,100,0.0825688073394,0.508239957163,8.38626956443
www.ru.ac.za,0.91,129,22,107,0.170542635659,0.508613197258,5.83097956494
www.ru.ac.za,0.91,149,35,114,0.234899328859,0.497156553474,5.08290008636
www.ru.ac.za,0.92,9,0,9,0.0,0.502066624771,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,29,0,29,0.0,0.493767912053,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,49,0,49,0.0,0.486519848307,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,69,0,69,0.0,0.489514927455,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,89,0,89,0.0,0.524734433751,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,109,9,100,0.0825688073394,0.509092624827,8.37222359218
www.ru.ac.za,0.92,129,22,107,0.170542635659,0.509218611485,5.82404706502
www.ru.ac.za,0.92,149,35,114,0.234899328859,0.498571050617,5.06847937813
www.ru.ac.za,0.93,9,0,9,0.0,0.503555397702,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,29,0,29,0.0,0.494526880192,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,49,0,49,0.0,0.486967955345,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,69,0,69,0.0,0.489315534232,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,89,0,89,0.0,0.522821796715,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,109,9,100,0.0825688073394,0.509721542235,8.36189356545
www.ru.ac.za,0.93,129,22,107,0.170542635659,0.509727663093,5.81823074242
www.ru.ac.za,0.93,149,35,114,0.234899328859,0.500026122667,5.05373014335
www.ru.ac.za,0.94,9,0,9,0.0,0.505160905877,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,29,0,29,0.0,0.495593148189,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,49,0,49,0.0,0.487704703183,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,69,0,69,0.0,0.489227965867,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,89,0,89,0.0,0.520436313715,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,109,9,100,0.0825688073394,0.510009765218,8.35716798944
www.ru.ac.za,0.94,129,22,107,0.170542635659,0.510038088152,5.81468958606
www.ru.ac.za,0.94,149,35,114,0.234899328859,0.501448717078,5.03939286815
www.ru.ac.za,0.95,9,0,9,0.0,0.50688993515,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,29,0,29,0.0,0.497076493372,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,49,0,49,0.0,0.488886527584,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,69,0,69,0.0,0.489385204189,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,89,0,89,0.0,0.517545873153,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,109,9,100,0.0825688073394,0.509822861873,8.36023176466
www.ru.ac.za,0.95,129,22,107,0.170542635659,0.510008373543,5.81502836722
www.ru.ac.za,0.95,149,35,114,0.234899328859,0.502716623011,5.02668297191
www.ru.ac.za,0.96,9,0,9,0.0,0.508749625588,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,29,0,29,0.0,0.499121241839,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,49,0,49,0.0,0.49076308738,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,69,0,69,0.0,0.490044745679,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,89,0,89,0.0,0.514208067724,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,109,9,100,0.0825688073394,0.509050960032,8.37290884181
www.ru.ac.za,0.96,129,22,107,0.170542635659,0.509480558766,5.82105265578
www.ru.ac.za,0.96,149,35,114,0.234899328859,0.503661719434,5.01725064876
www.ru.ac.za,0.97,9,0,9,0.0,0.510747486979,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,29,0,29,0.0,0.501916259604,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,49,0,49,0.0,0.49373300092,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,69,0,69,0.0,0.491705120719,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,89,0,89,0.0,0.510721142743,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,109,9,100,0.0825688073394,0.507745124477,8.39444256323
www.ru.ac.za,0.97,129,22,107,0.170542635659,0.508392187358,5.83351442729
www.ru.ac.za,0.97,149,35,114,0.234899328859,0.504150605781,5.01238530631
www.ru.ac.za,0.98,9,0,9,0.0,0.512891414868,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,29,0,29,0.0,0.505707653447,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,49,0,49,0.0,0.498431868807,No se han perdido paquetes, no se puede calcular el throughput
