ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.sfu.ca,0.98,109,1,108,0.009174312,0.279529939,45.74362192,
www.sfu.ca,0.98,129,1,128,0.007751938,0.275307405,50.52689276,
www.sfu.ca,0.98,149,1,148,0.006711409,0.274016393,54.55847447,
www.sfu.ca,0.99,9,0,9,0,0.325481951,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.99,29,0,29,0,0.313988001,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.99,49,0,49,0,0.304682845,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.99,69,0,69,0,0.298347439,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.99,89,0,89,0,0.297771027,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.99,109,1,108,0.009174312,0.291851025,43.81246164,
www.sfu.ca,0.99,129,1,128,0.007751938,0.287241966,48.42756073,
www.sfu.ca,0.99,149,1,148,0.006711409,0.284415155,52.5637123,
