ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.ru.ac.za,0.91,89,0,89,0,0.526234223,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,109,9,100,0.082568807,0.508239957,8.386269564,
www.ru.ac.za,0.91,129,22,107,0.170542636,0.508613197,5.830979565,
www.ru.ac.za,0.91,149,35,114,0.234899329,0.497156553,5.082900086,
www.ru.ac.za,0.92,9,0,9,0,0.502066625,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,29,0,29,0,0.493767912,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,49,0,49,0,0.486519848,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,69,0,69,0,0.489514927,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,89,0,89,0,0.524734434,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.92,109,9,100,0.082568807,0.509092625,8.372223592,
www.ru.ac.za,0.92,129,22,107,0.170542636,0.509218611,5.824047065,
www.ru.ac.za,0.92,149,35,114,0.234899329,0.498571051,5.068479378,
www.ru.ac.za,0.93,9,0,9,0,0.503555398,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,29,0,29,0,0.49452688,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,49,0,49,0,0.486967955,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,69,0,69,0,0.489315534,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,89,0,89,0,0.522821797,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.93,109,9,100,0.082568807,0.509721542,8.361893565,
www.ru.ac.za,0.93,129,22,107,0.170542636,0.509727663,5.818230742,
www.ru.ac.za,0.93,149,35,114,0.234899329,0.500026123,5.053730143,
www.ru.ac.za,0.94,9,0,9,0,0.505160906,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,29,0,29,0,0.495593148,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,49,0,49,0,0.487704703,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,69,0,69,0,0.489227966,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,89,0,89,0,0.520436314,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.94,109,9,100,0.082568807,0.510009765,8.357167989,
www.ru.ac.za,0.94,129,22,107,0.170542636,0.510038088,5.814689586,
www.ru.ac.za,0.94,149,35,114,0.234899329,0.501448717,5.039392868,
www.ru.ac.za,0.95,9,0,9,0,0.506889935,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,29,0,29,0,0.497076493,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,49,0,49,0,0.488886528,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,69,0,69,0,0.489385204,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,89,0,89,0,0.517545873,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.95,109,9,100,0.082568807,0.509822862,8.360231765,
www.ru.ac.za,0.95,129,22,107,0.170542636,0.510008374,5.815028367,
www.ru.ac.za,0.95,149,35,114,0.234899329,0.502716623,5.026682972,
www.ru.ac.za,0.96,9,0,9,0,0.508749626,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,29,0,29,0,0.499121242,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,49,0,49,0,0.490763087,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,69,0,69,0,0.490044746,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,89,0,89,0,0.514208068,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.96,109,9,100,0.082568807,0.50905096,8.372908842,
www.ru.ac.za,0.96,129,22,107,0.170542636,0.509480559,5.821052656,
www.ru.ac.za,0.96,149,35,114,0.234899329,0.503661719,5.017250649,
www.ru.ac.za,0.97,9,0,9,0,0.510747487,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,29,0,29,0,0.50191626,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,49,0,49,0,0.493733001,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,69,0,69,0,0.491705121,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,89,0,89,0,0.510721143,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.97,109,9,100,0.082568807,0.507745124,8.394442563,
www.ru.ac.za,0.97,129,22,107,0.170542636,0.508392187,5.833514427,
www.ru.ac.za,0.97,149,35,114,0.234899329,0.504150606,5.012385306,
www.ru.ac.za,0.98,9,0,9,0,0.512891415,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,29,0,29,0,0.505707653,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,49,0,49,0,0.498431869,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,69,0,69,0,0.495330752,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,89,0,89,0,0.507985346,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,109,9,100,0.082568807,0.506509897,8.414914126,
www.ru.ac.za,0.98,129,22,107,0.170542636,0.507160654,5.847679894,
www.ru.ac.za,0.98,149,35,114,0.234899329,0.504440678,5.009503,
www.ru.ac.za,0.99,9,0,9,0,0.515189707,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,29,0,29,0,0.510814874,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,49,0,49,0,0.505870532,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,69,0,69,0,0.502784004,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,89,0,89,0,0.508357275,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,109,9,100,0.082568807,0.507575864,8.397241846,
www.ru.ac.za,0.99,129,22,107,0.170542636,0.507860673,5.839619644,
www.ru.ac.za,0.99,149,35,114,0.234899329,0.506427695,4.989847735,
